"Distrito;Região de Saúde;População;População mais65 anos "
"Ã‰VORA;Alentejo;152299;39925"
"AÃ‡ORES;AÃ§ores;242796;36277"
"AVEIRO;Centro;697339;150172"
"BEJA;Alentejo;141049;35791"
"BRAGA;Norte;828395;152496"
"BRAGANÃ‡A;Norte;124121;38302"
"CASTELO BRANCO;Centro;177810;51943"
"COIMBRA;Centro;405206;104093"
"FARO;Algarve;438406;96053"
"GUARDA;Centro;143180;42372"
"LEIRIA;Centro;455243;104754"
"LISBOA;Lisboa e Vale do Tejo;2289162;508536"
"MADEIRA;Madeira;254254;43177"
"PORTALEGRE;Alentejo;104538;28706"
"PORTO;Norte;1783172;356409"
"SANTARÃ‰M;Lisboa e Vale do Tejo;429832;107449"
"SETÃšBAL;Lisboa e Vale do Tejo;853803;185498"
"VIANA DO CASTELO;Norte;230412;58372"
"VILA REAL;Norte;191383;51590"
"VISEU;Centro;353509;88509"
