Nivel;Dicofre;Designacao;Bandeira;Wikipedia
1;01;Aveiro;https://dados.gov.pt/s/brasoes/01.png;https://pt.wikipedia.org/wiki/Distrito_de_Aveiro
1;02;Beja;https://dados.gov.pt/s/brasoes/02.png;https://pt.wikipedia.org/wiki/Distrito_de_Beja
1;03;Braga;https://dados.gov.pt/s/brasoes/03.png;https://pt.wikipedia.org/wiki/Distrito_de_Braga
1;04;Bragança;https://dados.gov.pt/s/brasoes/04.png;https://pt.wikipedia.org/wiki/Distrito_de_Bragança
1;05;Castelo Branco;https://dados.gov.pt/s/brasoes/05.png;https://pt.wikipedia.org/wiki/Distrito_de_Castelo_Branco
1;06;Coimbra;https://dados.gov.pt/s/brasoes/06.png;https://pt.wikipedia.org/wiki/Distrito_de_Coimbra
1;07;Évora;https://dados.gov.pt/s/brasoes/07.png;https://pt.wikipedia.org/wiki/Distrito_de_Évora
1;08;Faro;https://dados.gov.pt/s/brasoes/08.png;https://pt.wikipedia.org/wiki/Distrito_de_Faro
1;09;Guarda;https://dados.gov.pt/s/brasoes/09.png;https://pt.wikipedia.org/wiki/Distrito_da_Guarda
1;10;Leiria;https://dados.gov.pt/s/brasoes/10.png;https://pt.wikipedia.org/wiki/Distrito_de_Leiria
1;11;Lisboa;https://dados.gov.pt/s/brasoes/11.png;https://pt.wikipedia.org/wiki/Distrito_de_Lisboa
1;12;Portalegre;https://dados.gov.pt/s/brasoes/12.png;https://pt.wikipedia.org/wiki/Distrito_de_Portalegre
1;13;Porto;https://dados.gov.pt/s/brasoes/13.png;https://pt.wikipedia.org/wiki/Distrito_do_Porto
1;14;Santarém;https://dados.gov.pt/s/brasoes/14.png;https://pt.wikipedia.org/wiki/Distrito_de_Santarém
1;15;Setúbal;https://dados.gov.pt/s/brasoes/15.png;https://pt.wikipedia.org/wiki/Distrito_de_Setúbal
1;16;Viana do Castelo;https://dados.gov.pt/s/brasoes/16.png;https://pt.wikipedia.org/wiki/Distrito_de_Viana_do_Castelo
1;17;Vila Real;https://dados.gov.pt/s/brasoes/17.png;https://pt.wikipedia.org/wiki/Distrito_de_Vila_Real
1;18;Viseu;https://dados.gov.pt/s/brasoes/18.png;https://pt.wikipedia.org/wiki/Distrito_de_Viseu
1;31;Ilha da Madeira;https://dados.gov.pt/s/brasoes/30.png;https://pt.wikipedia.org/wiki/Região_Autónoma_da_Madeira
1;32;Ilha de Porto Santo;https://dados.gov.pt/s/brasoes/30.png;https://pt.wikipedia.org/wiki/Região_Autónoma_da_Madeira
1;41;Ilha de Santa Maria;https://dados.gov.pt/s/brasoes/40.png;https://pt.wikipedia.org/wiki/Açores
1;42;Ilha de São Miguel;https://dados.gov.pt/s/brasoes/40.png;https://pt.wikipedia.org/wiki/Açores
1;43;Ilha Terceira;https://dados.gov.pt/s/brasoes/40.png;https://pt.wikipedia.org/wiki/Açores
1;44;Ilha Graciosa;https://dados.gov.pt/s/brasoes/40.png;https://pt.wikipedia.org/wiki/Açores
1;45;Ilha de São Jorge;https://dados.gov.pt/s/brasoes/40.png;https://pt.wikipedia.org/wiki/Açores
1;46;Ilha do Pico;https://dados.gov.pt/s/brasoes/40.png;https://pt.wikipedia.org/wiki/Açores
1;47;Ilha do Faial;https://dados.gov.pt/s/brasoes/40.png;https://pt.wikipedia.org/wiki/Açores
1;48;Ilha das Flores;https://dados.gov.pt/s/brasoes/40.png;https://pt.wikipedia.org/wiki/Açores
1;49;Ilha do Corvo;https://dados.gov.pt/s/brasoes/40.png;https://pt.wikipedia.org/wiki/Açores
